iter	Passed	Remaining
404	8245	12113
405	8270	12100
406	8296	12088
407	8321	12073
408	8347	12062
409	8373	12049
410	8406	12046
411	8443	12050
412	8475	12046
413	8501	12033
414	8530	12025
415	8557	12013
416	8584	12001
417	8618	12000
418	8658	12005
419	8694	12006
420	8721	11994
421	8753	11990
422	8779	11975
423	8809	11967
424	8838	11958
425	8867	11948
426	8891	11932
427	8918	11919
428	8942	11903
429	8965	11883
430	8982	11858
431	8999	11832
432	9016	11806
433	9033	11780
434	9049	11753
435	9064	11726
436	9081	11700
437	9098	11674
438	9115	11648
439	9132	11623
440	9149	11597
441	9166	11571
442	9192	11557
443	9209	11532
444	9226	11507
445	9244	11483
446	9267	11465
447	9286	11441
448	9304	11418
449	9321	11393
450	9338	11368
451	9355	11342
452	9373	11317
453	9390	11293
454	9407	11268
455	9429	11249
456	9452	11231
457	9483	11222
458	9508	11207
459	9535	11193
460	9558	11175
461	9583	11160
462	9607	11143
463	9636	11131
464	9662	11116
465	9684	11098
466	9708	11080
467	9731	11062
468	9755	11044
469	9776	11025
470	9799	11006
471	9821	10986
472	9846	10970
473	9871	10954
474	9897	10939
475	9920	10921
476	9946	10905
477	9972	10890
478	9997	10874
479	10017	10852
480	10034	10827
481	10050	10801
482	10067	10776
483	10085	10752
484	10102	10727
485	10119	10702
486	10136	10677
487	10152	10651
488	10169	10627
489	10186	10602
490	10212	10586
491	10229	10562
492	10247	10538
493	10264	10514
494	10281	10489
495	10299	10465
496	10315	10439
497	10336	10419
498	10360	10401
499	10381	10381
500	10402	10361
501	10429	10346
502	10455	10330
503	10473	10307
504	10495	10287
505	10518	10268
506	10545	10253
507	10567	10234
508	10592	10217
509	10611	10194
510	10631	10173
511	10648	10149
512	10666	10125
513	10685	10103
514	10703	10079
515	10721	10056
516	10737	10031
517	10754	10006
518	10771	9983
519	10790	9960
520	10808	9936
521	10826	9914
522	10845	9891
523	10863	9868
524	10880	9844
525	10899	9822
526	10917	9799
527	10934	9775
528	10953	9752
529	10974	9732
530	10996	9712
531	11014	9689
532	11030	9665
533	11047	9641
534	11065	9617
535	11082	9593
536	11100	9570
537	11117	9547
538	11134	9523
539	11151	9499
540	11168	9475
541	11185	9452
542	11201	9427
543	11218	9403
544	11239	9383
545	11257	9360
546	11274	9337
547	11292	9314
548	11308	9290
549	11325	9266
550	11344	9244
551	11365	9224
552	11383	9201
553	11400	9178
554	11417	9154
555	11435	9131
556	11469	9121
557	11498	9107
558	11525	9092
559	11562	9084
560	11585	9066
561	11610	9048
562	11632	9029
563	11655	9010
564	11677	8990
565	11699	8970
566	11723	8952
567	11746	8934
568	11770	8915
569	11793	8897
570	11815	8876
571	11838	8857
572	11871	8846
573	11903	8834
574	11940	8825
575	11972	8813
576	11996	8794
577	12020	8776
578	12045	8758
579	12069	8740
580	12093	8721
581	12119	8704
582	12154	8693
583	12181	8677
584	12208	8660
585	12231	8641
586	12255	8622
587	12278	8603
588	12302	8584
589	12326	8566
590	12352	8548
591	12375	8529
592	12399	8510
593	12425	8492
594	12451	8475
595	12476	8457
596	12499	8437
597	12522	8418
598	12547	8400
599	12591	8394
600	12664	8407
601	12698	8395
602	12722	8376
603	12745	8356
604	12770	8337
605	12794	8318
606	12819	8299
607	12844	8281
608	12868	8261
609	12892	8242
610	12937	8236
611	12983	8231
612	13014	8216
613	13071	8217
614	13107	8205
615	13166	8207
616	13213	8202
617	13245	8187
618	13277	8172
619	13308	8156
620	13338	8140
621	13368	8124
622	13401	8109
623	13430	8092
624	13472	8083
625	13495	8062
626	13518	8042
627	13544	8023
628	13576	8007
629	13600	7987
630	13624	7967
631	13650	7948
632	13675	7928
633	13703	7910
634	13738	7897
635	13778	7885
636	13809	7869
637	13845	7855
638	13868	7834
639	13893	7815
640	13916	7794
641	13941	7774
642	13968	7755
643	13995	7736
644	14018	7715
645	14043	7695
646	14067	7674
647	14091	7654
648	14114	7633
649	14138	7613
650	14161	7592
651	14185	7571
652	14208	7550
653	14232	7529
654	14254	7508
655	14279	7488
656	14302	7467
657	14331	7449
658	14391	7446
659	14442	7440
660	14481	7426
661	14505	7406
662	14523	7382
663	14540	7357
664	14560	7335
665	14579	7311
666	14598	7288
667	14616	7264
668	14633	7239
669	14655	7218
670	14677	7196
671	14704	7177
672	14732	7158
673	14759	7138
674	14784	7118
675	14808	7097
676	14834	7077
677	14862	7058
678	14886	7037
679	14909	7016
680	14930	6993
681	14948	6970
682	14968	6947
683	14986	6923
684	15003	6899
685	15021	6875
686	15038	6851
687	15055	6827
688	15073	6804
689	15091	6780
690	15109	6756
691	15126	6732
692	15143	6708
693	15160	6684
694	15178	6661
695	15195	6637
696	15212	6613
697	15229	6589
698	15246	6565
699	15264	6541
700	15280	6517
701	15297	6493
702	15315	6470
703	15334	6447
704	15370	6431
705	15391	6409
706	15414	6388
707	15440	6368
708	15463	6346
709	15508	6334
710	15557	6323
711	15621	6318
712	15645	6297
713	15666	6275
714	15687	6253
715	15704	6229
716	15721	6205
717	15738	6181
718	15755	6157
719	15773	6134
720	15791	6110
721	15807	6086
722	15831	6065
723	15861	6046
724	15901	6031
725	15944	6017
726	15968	5996
727	15991	5974
728	16011	5952
729	16029	5928
730	16046	5904
731	16063	5881
732	16080	5857
733	16096	5833
734	16113	5809
735	16129	5785
736	16146	5761
737	16160	5737
738	16177	5713
739	16193	5689
740	16210	5665
741	16226	5642
742	16243	5618
743	16261	5595
744	16280	5572
745	16296	5548
746	16318	5526
747	16344	5506
748	16368	5485
749	16392	5464
750	16414	5442
751	16438	5421
752	16469	5402
753	16503	5384
754	16529	5363
755	16551	5342
756	16583	5323
757	16607	5301
758	16627	5279
759	16652	5258
760	16680	5238
761	16705	5217
762	16728	5196
763	16751	5174
764	16775	5153
765	16800	5132
766	16823	5110
767	16846	5089
768	16870	5067
769	16906	5050
770	16934	5029
771	16961	5009
772	16986	4988
773	17008	4966
774	17031	4944
775	17055	4923
776	17078	4901
777	17102	4880
778	17133	4860
779	17164	4841
780	17202	4823
781	17224	4801
782	17249	4780
783	17275	4759
784	17299	4738
785	17321	4716
786	17345	4694
787	17372	4673
788	17394	4651
789	17417	4629
790	17440	4608
791	17465	4586
792	17487	4564
793	17510	4543
794	17535	4521
795	17558	4499
796	17584	4478
797	17625	4461
798	17676	4446
799	17729	4432
800	17776	4416
801	17840	4404
802	17875	4385
803	17912	4366
804	17974	4354
805	18022	4337
806	18088	4326
807	18116	4304
808	18143	4283
809	18171	4262
810	18195	4240
811	18221	4218
812	18244	4196
813	18275	4175
814	18300	4154
815	18323	4131
816	18346	4109
817	18369	4087
818	18391	4064
819	18414	4042
820	18437	4019
821	18463	3998
822	18486	3975
823	18508	3953
824	18532	3931
825	18555	3908
826	18580	3886
827	18611	3866
828	18634	3843
829	18658	3821
830	18683	3799
831	18705	3777
832	18728	3754
833	18751	3732
834	18773	3709
835	18799	3687
836	18821	3665
837	18845	3643
838	18868	3620
839	18899	3599
840	18943	3581
841	18985	3562
842	19052	3548
843	19088	3528
844	19137	3510
845	19220	3498
846	19248	3476
847	19272	3454
848	19295	3431
849	19319	3409
850	19344	3387
851	19367	3364
852	19388	3341
853	19405	3317
854	19422	3293
855	19440	3270
856	19462	3247
857	19480	3223
858	19498	3200
859	19518	3177
860	19536	3154
861	19554	3130
862	19572	3107
863	19595	3084
864	19613	3061
865	19631	3037
866	19649	3014
867	19670	2991
868	19688	2968
869	19706	2944
870	19722	2921
871	19739	2897
872	19757	2874
873	19774	2850
874	19792	2827
875	19809	2804
876	19827	2780
877	19844	2757
878	19861	2734
879	19879	2710
880	19895	2687
881	19912	2664
882	19929	2640
883	19947	2617
884	19961	2593
885	19978	2570
886	19995	2547
887	20011	2523
888	20028	2500
889	20044	2477
890	20061	2454
891	20081	2431
892	20098	2408
893	20115	2385
894	20131	2361
895	20148	2338
896	20166	2315
897	20183	2292
898	20201	2269
899	20220	2246
900	20244	2224
901	20264	2201
902	20280	2178
903	20294	2155
904	20310	2132
905	20334	2109
906	20351	2086
907	20373	2064
908	20394	2041
909	20414	2019
910	20438	1996
911	20463	1974
912	20479	1951
913	20497	1928
914	20517	1905
915	20538	1883
916	20568	1861
917	20599	1840
918	20620	1817
919	20637	1794
920	20653	1771
921	20675	1749
922	20691	1726
923	20708	1703
924	20726	1680
925	20743	1657
926	20759	1634
927	20777	1612
928	20794	1589
929	20812	1566
930	20827	1543
931	20843	1520
932	20860	1498
933	20878	1475
934	20894	1452
935	20911	1429
936	20929	1407
937	20946	1384
938	20963	1361
939	20981	1339
940	20997	1316
941	21015	1293
942	21032	1271
943	21049	1248
944	21067	1226
945	21085	1203
946	21103	1181
947	21120	1158
948	21137	1135
949	21154	1113
950	21172	1090
951	21190	1068
952	21207	1045
953	21225	1023
954	21243	1001
955	21263	978
956	21284	956
957	21301	933
958	21321	911
959	21344	889
960	21362	866
961	21379	844
962	21396	822
963	21413	799
964	21430	777
965	21448	754
966	21466	732
967	21485	710
968	21503	687
969	21520	665
970	21538	643
971	21554	620
972	21572	598
973	21591	576
974	21609	554
975	21625	531
976	21642	509
977	21660	487
978	21679	465
979	21697	442
980	21714	420
981	21732	398
982	21749	376
983	21767	353
984	21784	331
985	21801	309
986	21818	287
987	21835	265
988	21852	243
989	21869	220
990	21886	198
991	21903	176
992	21920	154
993	21938	132
994	21957	110
995	21975	88
996	21992	66
997	22009	44
998	22026	22
999	22043	0
