iter	Logloss
0	0.6467431064
1	0.6113778346
2	0.5852824791
3	0.5640835179
4	0.5507609012
5	0.5385788119
6	0.528365117
7	0.5203865914
8	0.51314496
9	0.5078977559
10	0.5026794236
11	0.4997060709
12	0.4966423147
13	0.493255475
14	0.4912104738
15	0.488738104
16	0.4874933806
17	0.486194516
18	0.4849243482
19	0.4836160642
20	0.4828464877
21	0.481966029
22	0.4810732211
23	0.4804496638
24	0.4797621145
25	0.4790096203
26	0.4785235055
27	0.4780835213
28	0.4777045522
29	0.4773793469
30	0.4769744427
31	0.476477088
32	0.4761715306
33	0.4758764888
34	0.475570907
35	0.4752234568
36	0.4749112977
37	0.4745758461
38	0.4743629654
39	0.4742392666
40	0.4740793593
41	0.4738786926
42	0.4736146736
43	0.4734949099
44	0.4733914561
45	0.4732241658
46	0.4730043205
47	0.4727878308
48	0.4724142526
49	0.4722746256
50	0.4720832439
51	0.4719019988
52	0.4716828788
53	0.4715764901
54	0.4714051681
55	0.4711219998
56	0.4710083841
57	0.4708772708
58	0.470770542
59	0.4706424797
60	0.4705507285
61	0.4704062517
62	0.4701970179
63	0.4700627908
64	0.4699501045
65	0.46985345
66	0.4697033213
67	0.4695422189
68	0.469447737
69	0.4693470615
70	0.4691992327
71	0.4691392668
72	0.4689484064
73	0.4687439366
74	0.4685956428
75	0.4685105769
76	0.4683914977
77	0.4682928061
78	0.4682014147
79	0.4680715036
80	0.4679624357
81	0.4678035574
82	0.4676918949
83	0.4676101533
84	0.4674902242
85	0.467431626
86	0.4673532887
87	0.4672601986
88	0.4671908219
89	0.4670930653
90	0.4669663736
91	0.466869318
92	0.4667540154
93	0.4666993878
94	0.4666500557
95	0.4665505638
96	0.4663868635
97	0.4662918143
98	0.4662431712
99	0.4660772821
100	0.4659972086
101	0.4659080452
102	0.4657839859
103	0.4657324112
104	0.4656303542
105	0.4654948834
106	0.4654394933
107	0.4653211016
108	0.4652525352
109	0.4651644827
110	0.4650929115
111	0.4650173309
112	0.464943653
113	0.4648612819
114	0.4648176238
115	0.4647583048
116	0.4646560028
117	0.4645369241
118	0.4644658441
119	0.4643418146
120	0.4642117974
121	0.4641388784
122	0.4640374872
123	0.4639100956
124	0.4638059081
125	0.463749407
126	0.4636911341
127	0.4635777225
128	0.4634547035
129	0.4633600523
130	0.46320432
131	0.4630899707
132	0.4630275834
133	0.4629413039
134	0.4628104767
135	0.4627383795
136	0.4626474
137	0.4625519785
138	0.4624764512
139	0.4623295934
140	0.4622534662
141	0.4621479895
142	0.4620916179
143	0.4619554517
144	0.4618851153
145	0.4618058781
